python main.py ./simulatedPlanets/example-sim-model_Rp_Teff ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt --num_planet_features 1 --num_stellar_features 1 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 5 --dropout_prob 0. --train

Random seed: 5
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt
   # planets:     37734
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch 236 | loss -0.264108241077 | 0.381027649660 bits | time 0:00:02   
| epoch 237 | loss -0.263816675496 | 0.380607009443 bits | time 0:00:01   
| epoch 238 | loss -0.263985160482 | 0.380850081896 bits | time 0:00:01   
| epoch 239 | loss -0.263871212170 | 0.380685689230 bits | time 0:00:01   
| epoch 240 | loss -0.263919491932 | 0.380755342204 bits | time 0:00:01   
| epoch 241 | loss -0.263909757768 | 0.380741298774 bits | time 0:00:01   
| epoch 242 | loss -0.263912684388 | 0.380745520994 bits | time 0:00:01   
| epoch 243 | loss -0.263861462710 | 0.380671623734 bits | time 0:00:00   
| epoch 244 | loss -0.263841565639 | 0.380642918328 bits | time 0:00:00   
| epoch 245 | loss -0.263504581004 | 0.380156752265 bits | time 0:00:01   
| epoch 246 | loss -0.264013313269 | 0.380890697783 bits | time 0:00:01   
| epoch 247 | loss -0.264091221586 | 0.381003095725 bits | time 0:00:01   
| epoch 248 | loss -0.263912282608 | 0.380744941348 bits | time 0:00:01   
| epoch 249 | loss -0.264101274430 | 0.381017598912 bits | time 0:00:01   
| epoch 250 | loss -0.263687928045 | 0.380421266132 bits | time 0:00:01   

Training time 0:04:55   
=========================================================================================
=========================================================================================
