python main.py ./simulatedPlanets/example-sim-model_Rp_loguP ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 500 --width 2 --seed 128 --dropout_prob 0.05 --train

Random seed: 128
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt
   # planets:     37654
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        500

| epoch 240 | loss -0.631928585727 | 0.911680236824 bits | time 0:00:01   
| epoch 241 | loss -0.627724214795 | 0.905614611731 bits | time 0:00:01   
| epoch 242 | loss -0.625759178669 | 0.902779663856 bits | time 0:00:01   
| epoch 243 | loss -0.632030758997 | 0.911827641694 bits | time 0:00:01   
| epoch 244 | loss -0.632970743692 | 0.913183752952 bits | time 0:00:01   
| epoch 245 | loss -0.629863441781 | 0.908700863895 bits | time 0:00:01   
| epoch 246 | loss -0.638907243940 | 0.921748312420 bits | time 0:00:01   
| epoch 247 | loss -0.630094429700 | 0.909034109020 bits | time 0:00:01   
| epoch 248 | loss -0.624555950772 | 0.901043772936 bits | time 0:00:01   
| epoch 249 | loss -0.631198578235 | 0.910627058636 bits | time 0:00:01   
| epoch 250 | loss -0.633567071246 | 0.914044071757 bits | time 0:00:01   
| epoch 251 | loss -0.633432653918 | 0.913850148544 bits | time 0:00:01   
| epoch 252 | loss -0.632766833830 | 0.912889573206 bits | time 0:00:01   
| epoch 253 | loss -0.635477790466 | 0.916800656900 bits | time 0:00:01   
| epoch 254 | loss -0.636141833165 | 0.917758668009 bits | time 0:00:01   
| epoch 255 | loss -0.634773586410 | 0.915784705201 bits | time 0:00:01   
| epoch 256 | loss -0.634582240164 | 0.915508650921 bits | time 0:00:01   
| epoch 257 | loss -0.629981286330 | 0.908870877641 bits | time 0:00:01   
| epoch 258 | loss -0.631042049956 | 0.910401236063 bits | time 0:00:01   
| epoch 259 | loss -0.635489074242 | 0.916816935947 bits | time 0:00:01   
| epoch 260 | loss -0.636153318522 | 0.917775237876 bits | time 0:00:01   
| epoch 261 | loss -0.638522141334 | 0.921192726800 bits | time 0:00:01   
| epoch 262 | loss -0.639654422787 | 0.922826263637 bits | time 0:00:01   
| epoch 263 | loss -0.628696354062 | 0.907017112230 bits | time 0:00:01   
| epoch 264 | loss -0.641267142814 | 0.925152926823 bits | time 0:00:01   
| epoch 265 | loss -0.643943076267 | 0.929013482745 bits | time 0:00:01   
| epoch 266 | loss -0.637593083420 | 0.919852379555 bits | time 0:00:01   
| epoch 267 | loss -0.639678516502 | 0.922861023520 bits | time 0:00:01   
| epoch 268 | loss -0.645073747919 | 0.930644697131 bits | time 0:00:01   
| epoch 269 | loss -0.641836945195 | 0.925974977892 bits | time 0:00:01   
| epoch 270 | loss -0.640507238455 | 0.924056616573 bits | time 0:00:01   
| epoch 271 | loss -0.638723632543 | 0.921483417169 bits | time 0:00:01   
| epoch 272 | loss -0.640172807544 | 0.923574134756 bits | time 0:00:01   
| epoch 273 | loss -0.644227094770 | 0.929423234832 bits | time 0:00:01   
| epoch 274 | loss -0.643126721249 | 0.927835731410 bits | time 0:00:01   
| epoch 275 | loss -0.643908500355 | 0.928963600249 bits | time 0:00:01   
| epoch 276 | loss -0.644256497726 | 0.929465654330 bits | time 0:00:01   
| epoch 277 | loss -0.643424257201 | 0.928264985052 bits | time 0:00:01   
| epoch 278 | loss -0.641565118766 | 0.925582815251 bits | time 0:00:01   
| epoch 279 | loss -0.642774346811 | 0.927327362555 bits | time 0:00:01   
| epoch 280 | loss -0.649231049679 | 0.936642415763 bits | time 0:00:01   
| epoch 281 | loss -0.646717704259 | 0.933016424790 bits | time 0:00:01   
| epoch 282 | loss -0.651621773167 | 0.940091500683 bits | time 0:00:01   
