# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr rormax rormax_uerr rormax_lerr
5088536 0 2 0.005288 0.175400 0.144077 27.508716 152420.727530 51.872931 5.440311 3.869465 0.417790 0.043817 0.031165
5088536 1 3 0.079900 0.379400 8.457449 87.517779 9317.231897 11.237063 2.562148 1.746267 0.090504 0.020636 0.014065
5094751 0 2 0.006055 0.150600 0.171312 21.222612 152395.495569 51.725618 7.621550 4.045041 0.363808 0.053606 0.028450
5113822 0 2 0.004102 0.321100 0.096918 67.093064 174514.890593 58.044855 6.759462 6.204144 0.602660 0.070181 0.064416
5175024 0 2 0.005213 0.163300 0.134419 23.477255 166047.197575 56.921665 5.257890 4.423858 0.464996 0.042952 0.036139
5177859 0 2 0.005706 0.084400 0.154075 8.756306 133714.473299 47.569864 4.691912 4.699174 0.355030 0.035017 0.035071
5184911 0 2 0.003827 0.407100 0.096930 106.259760 144652.395255 49.582883 4.874971 5.484483 0.551708 0.054244 0.061026
5185897 0 2 0.002953 0.061800 0.070154 6.834407 100731.845557 36.223907 2.467500 3.406474 0.522395 0.035584 0.049126
5185897 1 3 0.043800 0.087100 4.081412 11.419419 660.958968 13.258393 2.083895 2.114144 0.191203 0.030052 0.030489
5202905 0 2 0.008585 0.177000 0.243707 22.824514 204180.619431 66.966939 6.928856 5.832299 0.332205 0.034372 0.028932
5211199 0 2 0.011654 0.076400 0.398440 6.682312 101660.485368 37.115278 3.207768 4.071686 0.135628 0.011722 0.014879
5219234 0 2 0.003660 0.057100 0.089141 5.487114 107654.202238 38.861164 3.775893 3.360556 0.452187 0.043936 0.039103
5219234 1 3 0.039900 0.075200 3.205396 8.290842 607.472846 13.288758 2.214238 1.844659 0.154628 0.025765 0.021464
5219234 2 4 0.057100 0.120100 5.487114 16.738690 972.875048 13.157975 2.014674 2.491059 0.153106 0.023443 0.028986
5252423 0 2 0.003404 0.071200 0.084729 8.103633 105760.265926 36.644975 4.636224 3.482230 0.458438 0.058000 0.043564
5272233 0 2 0.005167 0.131300 0.135370 17.340874 152425.552962 53.003823 4.790547 5.657108 0.436888 0.039486 0.046629
5289854 0 2 0.004251 0.121100 0.101213 15.382539 155741.625308 53.432768 4.153288 5.621294 0.535351 0.041612 0.056321
5299459 0 2 0.004590 0.106800 0.116713 13.084243 140666.260455 47.925198 5.904549 4.991517 0.444656 0.054783 0.046312
5299459 1 3 0.091700 0.159000 10.415727 23.339796 460.380657 13.579299 2.877700 2.043394 0.125990 0.026700 0.018959
5301750 0 2 0.005260 0.082700 0.140234 8.725855 129499.205566 45.733693 4.718776 4.460240 0.370298 0.038207 0.036114
5301750 1 3 0.051000 0.107200 4.224536 12.882914 1168.965407 13.283072 2.512723 2.191854 0.107551 0.020345 0.017747
5301750 2 4 0.082700 0.177400 8.725855 27.434597 1264.385042 12.697204 2.961115 2.244864 0.102807 0.023976 0.018176
