# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
3544595 0 1 0.004158 0.052500 378573.427033 4.726740 103428.780317 37.494828 3.461701 3.467748
3544640 0 1 0.004464 0.195400 383121.304760 30.827824 175508.816627 59.696031 5.797757 7.767030
3545135 0 1 0.004339 0.079800 387401.531416 8.482993 130385.163681 45.919114 5.502096 4.097875
3545840 0 1 0.007278 0.310200 701496.339036 54.291634 225973.545896 74.475326 8.641353 6.556331
3546060 0 1 0.002874 0.075400 259890.952882 9.693108 92835.357041 34.196094 3.166270 3.567438
3548044 0 1 0.004418 0.193800 430924.333060 34.763054 134484.710284 46.444130 4.894608 4.772567
3548044 1 2 0.193800 0.303100 34.763054 67.968656 209.473423 14.020102 2.636077 2.372614
3548044 2 3 0.303100 1.061000 67.968656 445.216850 4302.481816 12.615287 1.846490 2.227563
3548645 0 1 0.004237 0.694800 362212.405986 211.330867 185545.684093 61.591192 6.306308 4.696335
3550372 0 1 0.011054 0.014600 1619927.904224 0.681181 439.038396 13.773256 2.057067 2.058858
3553900 0 1 0.003599 0.100300 305144.946244 12.574721 134083.186543 45.618834 5.045193 3.818288
3554031 0 1 0.002576 0.042600 223738.867574 4.176343 78881.310012 29.776346 3.361879 3.138597
3554031 1 2 0.042600 0.069500 4.176343 8.707983 199.977201 13.694634 2.339378 2.114574
3554031 2 3 0.069500 0.099300 8.707983 14.862308 74.304666 9.466835 3.552141 2.847877
3557560 0 1 0.005822 0.073800 592210.570852 7.429932 116296.814212 41.370677 4.491776 3.638254
3558849 0 1 0.007008 0.618800 696633.938417 160.850075 220052.815144 70.890313 6.496079 6.233395
3559860 0 1 0.004604 0.204900 400837.036077 33.025718 176246.569436 59.128316 6.693663 5.839401
3559860 1 2 0.204900 0.301500 33.025718 58.940569 171.065601 14.019517 2.726145 2.811024
3559935 0 1 0.004506 0.179000 429937.575011 29.911189 141334.541133 48.882664 4.026625 4.799196
3559935 1 2 0.179000 0.810600 29.911189 265.296170 7702.349656 11.832084 2.610407 1.419300
3629330 0 1 0.004916 0.367700 474521.710064 85.272459 161651.689313 55.323906 4.489687 5.045810
3629967 0 1 0.007659 0.398600 821832.248295 85.654248 196852.582115 65.278580 7.992180 6.042348
3632089 0 1 0.004316 0.054800 423774.686944 5.327842 92568.526664 34.031312 2.962763 3.667552
3632089 1 2 0.054800 0.180300 5.327842 31.778756 3594.685179 12.477006 2.452074 2.142027
3632418 0 1 0.008059 0.040800 882058.875684 2.785821 67225.319541 25.145236 3.313197 2.225601
3634051 0 1 0.013979 0.556300 1762411.718362 122.805442 251169.415841 82.477989 9.504361 9.568590
3634051 1 2 0.556300 1.329200 122.805442 453.542120 2856.145433 12.255090 2.535923 1.867354
3640905 0 1 0.014189 0.213000 1867847.438163 30.159941 182181.239481 60.774710 6.051040 7.337885
3640905 1 2 0.213000 0.302700 30.159941 51.077105 170.861242 13.984408 2.392330 2.303033
3641726 0 1 0.003813 0.079600 340925.877568 9.029307 118819.876196 42.459472 4.408163 3.847908
3642289 0 1 0.006325 0.069700 589581.052513 6.002548 140004.295280 49.164576 6.065251 4.763348
